DROP,Participant,Age,Gender,Year,Anchortype,magnitude,Condition,pen,Proteindrink,lebron,slidy,Cheese,Figurine,TV,beachhouse,number,Notes
0,34,19,f,frosh,0,1,3,3.2,7,.367,15,1.37,35,4000,725000,31, 
0,36,20,f,soph,0,1,3,1,9.9,.4,1,3,30,2500,750000,5001, 
0,42,18,f,frosh,0,1,3,2,8,.4,35,2,35,3000,780000,50, 
0,45,20,f,soph,0,1,3,3.8,9.9,.488,35,3,43,4500,775000,23,had 1 headphone in ear
0,51,19,f,frosh,0,1,3,1,8,.2,20,2,20,3000,700000,4500, 
0,55,18,f,frosh,0,1,3,.5,9.5,.375,30,2,35,4000,795000,7000, 
0,60,21,f,soph,0,1,3,2,9,.4,38,.5,25,1000,700000,3, 
0,68,19,f,frosh,0,1,3,3,8.5,.25,12,.25,30,900,649000,979, 
0,69,19,f,soph,0,1,3,1,7,.365,30,3.3,25,3500,550000,6729,briefly chatted w/ friend
0,70,17,m,frosh,0,1,3,3,9,.75,20,3,30,3800,700000,5000, 
0,74, ,x,frosh,0,1,3, ,9,.4,8,2,25,1500,725000,5000, 
0,82,19,f,soph,0,1,3,3.7,9,.48,35,4.5,35,3000,730000,95000,little chatting w/ friend who came to table & tablemate
0,86,20,f,soph,0,1,3,1,4,.4,25,2,30,1300,799000,4, 
0,90,18,m,frosh,0,1,3,2,8,.357,30,2,5,2000,600000,7532, 
0,94,20,m,soph,0,1,3,3,4,.44,22,2,40,4000,500000,1,chatted w/ friends
0,98,20,f,soph,0,1,3,3.7,7,.472,34,3.17,31,3625,760000,843, 
0,102, ,x,frosh,0,1,3,.75,7,.37,30,2,30,2500,650000,67000, 
0,106,20,f,soph,0,1,3,3.7,9.5,.39,30,2.5,30,4500,650000,1267, 
0,108,22,f,sr,0,1,3,3,7,.35,15,3,25,3000,650000,750, 
0,110,21,m,sr,0,1,3,3,8,.48,18,1,10,2000,775000,287,Knew LeBron ave and told friend
0,114,19,f,frosh,0,1,3,3.5,20,.27,5,.5,200,1500,500000,7, 
0,115,19,m,frosh,0,1,3,500,6,.35,27,.5,15,600,550000,1437, 
0,122,19,f,frosh,0,1,3,3.7,9.98,.48,35,2,35,4000,750000,167, 
0,130,20,f,soph,0,1,3,3,9.5,.485,15,2,10,1500,600000,9999,headphones in and funny comment on last question
0,133,20,m,jr,0,1,3,2,9,.495,30,1.5,35,2000,780000,4122,friend stopped by during last page short non- survey convo.
0,4,20,f,soph,1,1,1,3,9,.3,20,4,20,3500,730000,444, 
0,6,19,f,frosh,1,1,1,7,70,.39,25,1.5,20,3500,750000,7353, 
0,11,21,m,jr,1,1,1,3.95,9.7,.472,29.75,3.99,30,4500,760000,4500,chatting/laughing w/ friends during part of survey
0,14,20,m,jr,1,1,1,3.8,5,.49,44,2,30,3000,750000,4789, 
0,18,18,f,frosh,1,1,1,3,9,.35,30,2,7,3500,600000,42, 
0,30,22,m,jr,1,1,1,3.6,9.6,.48,30,3,25,3000,760000,800, 
0,31,21,m,jr,1,1,1,3,9,.39,10,3.5,10,3000,650000,42, 
0,32,21,f,jr,1,1,1,3.5,9.5,.3,15,2,30,2000,750000,9500, 
0,37,21,m,jr,1,1,1,3.99,9.5,.45,15,3,40,3950,725000,5062, 
0,46,20,m,jr,1,1,1,3.2,6,.42,30,1.5,30,3500,740000,6565,"asked if ""actual cost"" of Slidy was cost@ mass merch. Or cost to produce ""answer to the best of your ability"
0,49,19,f,frosh,1,1,1, ,9.8,.45,5,3,10,900,750000,5555, 
0,53,20,f,jr,1,1,1,3,9,.45,3,1.5,23,4500,600000,7777, 
0,57,18,f,frosh,1,1,1,3.5,5,.47,35,2,35,2000,750000,1200, 
0,61, ,m,frosh,1,1,1,3,9,.45,25,2,40,4000,750000,1, 
0,63,18,f,frosh,1,1,1,2,9.2,.46,29,3.95,27,4300,700000,4732,1 headphone in ear
0,66,19,f,frosh,1,1,1,3.8,9.5,.4,35,2,30,4000,720000,5000,headphones in ears
0,72, ,x,soph,1,1,1,3,5,.45,30,1,25,2000,700000,5292, 
0,76,22,f,sr,1,1,1,2,6,.39,20,2,25,3500,750000,1, 
0,84,18,f,frosh,1,1,1,2,5,.495,34,3.15,28,2000,699800,2, 
0,88,20,f,soph,1,1,1,2.5,10,.35,33,4.5,20,4500,780000,400, 
0,92,21,m,soph,1,1,1,3.6,9.7,.4,25,2.5,35,3000,750000,9988,friends @ table chatting
0,96,20,m,soph,1,1,1, ,9.5,.45,25,4,20,3000,600000,500, 
0,100,20,f,soph,1,1,1,3.97,9.4,.497,39,4.5,44,4980,799780,9000, 
0,104,18,f,frosh,1,1,1,3.6,11,.3,40,.25,32.5,3750,500000,5, 
0,107,18,f,frosh,1,1,1,3.25,8.7,.465,35,4,35,4000,799000,327, 
0,112,21,m,sr,1,1,1,3,9,.45,20,3.1,30,3500,630000,3454, 
0,113,22,m,sr,1,1,1,3.9,99.5,.49,10,1,20,1000,450000,9000, 
0,116,19,f,soph,1,1,1,3.5,9,.435,30,4,30,3200,730000,5000, 
0,121,19,f,frosh,1,1,1,2,6,.35,10,.5,10,1500,775999,3, 
0,124,20,m,frosh,1,1,1,3.5,9.6,.48,36,2,25,3000,650800,5001, 
1,15,18,m,frosh,0,0,4,3.5,8,.45,30,4.5,25,4050,700050,9500,watched youtube videos and discussed them w/ friends during survey
1,81,20,f,soph,0,0,4,2,6,.35,39,4.5,35,4000,750000,7576,talked about survey w/ friends
1,79,19,f,soph,1,0,2,3.5,9.5,.35,30,4,15,1500,700000,9333,talked about survey w/ friends
1,78,19,f,soph,0,1,3, ,8,.495,36,2,30,2500,700000,20,talked about survey w/ friends
1,41,21,m,jr,1,1,1,3.9,2,.49,2,.5,10,100,799000,69,"chatted w/ friends, checked phone/texts"
1,80,19,f,soph,1,1,1,3.5,9.4,.496,34,4.5,21,3000,750800,5001,friends talked about survey around her
